nombre,direccion,telefono,categoria,ubicacion,valoracion,num_reseñas,tiene_web,website,google_maps_link,tipo,estado,fecha_generacion,fecha_contacto,url_demo,notas
Carpintero Ebanista Salvador Navarra Sant Cugat del Vallés,"Carrer del Dos de Maig, 13, 08172 Sant Cugat del Vallès, Barcelona, España",+34 622 43 59 92,carpintero aluminio,Sant Cugat del Vallès,4.5,0,False,,,Carpintero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/carpintero-ebanista-salvador-navarra-sant-cugat-del-vallés/,
Aroaluminis Tot En Alumini,"Passeig dels Til·lers, 21, 08198 Sant Cugat del Vallès, Barcelona, España",+34 629 99 21 84,carpintero aluminio,Sant Cugat del Vallès,0,0,False,,,Carpintería metálica y de aluminio,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/aroaluminis-tot-en-alumini/,
Francisco Claudio Díaz Segura,"Avinguda de Cerdanyola, 22, 08172 Sant Cugat del Vallès, Barcelona, España",+34 936 75 10 69,fontanero,Sant Cugat del Vallès,3,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/francisco-claudio-díaz-segura/,
Jvc Profesional Europa Limited Sucursal En España,"Carrer Sant Cugat, 88, 08173 Sant Cugat del Vallès, Barcelona, España",+34 902 51 36 60,electricista,Sant Cugat del Vallès,0,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/jvc-profesional-europa-limited-sucursal-en-españa/,
Tecnoelectric,"Carrer de los Castillejos, 52, 08172 Sant Cugat del Vallès, Barcelona, España",+34 614 08 38 60,electricista,Sant Cugat del Vallès,0,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/tecnoelectric/,
Talleres Nogués Montajes Electrónicos,"Carrer d'Orient, 59, 08172 Sant Cugat del Vallès, Barcelona, España",,electricista,Sant Cugat del Vallès,5,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/talleres-nogués-montajes-electrónicos/,
MD Electric,"Avinguda de Cerdanyola, 73, 08172 Sant Cugat del Vallès, Barcelona, España",,electricista,Sant Cugat del Vallès,5,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/md-electric/,
3P Elèctric,"Carrer d'Aymerich, 08173 Sant Cugat del Vallès, Barcelona, España",,electricista,Sant Cugat del Vallès,0,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/3p-elèctric/,
Integral de Ingeniería e Instalaciones S L,"Avinguda de Cerdanyola, 79, 08172 Sant Cugat del Vallès, Barcelona, España",+34 936 22 21 80,electricista,Sant Cugat del Vallès,0,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/integral-de-ingeniería-e-instalaciones-s-l/,
Neix Instalnova 25,"Passatge de la Diputació, 46, 08172 Sant Cugat del Vallès, Barcelona, España",+34 936 74 80 60,electricista,Sant Cugat del Vallès,0,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/neix-instalnova-25/,
Cofely España S A U,"Carrer del Sena, 08174 Sant Cugat del Vallès, Barcelona, España",+34 935 84 88 59,electricista,Sant Cugat del Vallès,0,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/cofely-españa-s-a-u/,
Calderas y Aire Acondicionado Sant Cugat 659319761,"Carrer del Vallès, 10, 08172 Sant Cugat del Vallès, Barcelona, España",,aire acondicionado,Sant Cugat del Vallès,0,0,False,,,Empresa de climatización,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/calderas-y-aire-acondicionado-sant-cugat-659319761/,
Instaladores Placas Solares,"Pg. de Francesc Macià, 84, 1- 4, 08173 Sant Cugat del Vallès, Barcelona, España",+34 653 11 35 38,instalador placas solares,Sant Cugat del Vallès,0,0,False,,,Proveedor de energía ecológica,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/instaladores-placas-solares/,
S.M Pinturas revestimiento y mas,"Carrer de Montserrat, 6, 2-1, 08172 Barcelona, España",+34 662 43 37 65,pintor decorator,Sant Cugat del Vallès,5,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/sm-pinturas-revestimiento-y-mas/,
Centre Jardineria Masó-Navarro,"Carretera de Rubí, Km. 4, 08190 Sant Cugat del Vallès, Barcelona, España",+34 936 75 37 02,jardinero,Sant Cugat del Vallès,4.2,0,False,,,Centro de jardinería,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/centre-jardineria-masó-navarro/,
Jardinería Magnólia,,+34 628 74 59 22,jardinero,Sant Cugat del Vallès,5,0,False,,,Jardinero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/jardinería-magnólia/,
Jardi art Sant Cugat,,+34 691 31 14 63,jardinero,Sant Cugat del Vallès,4.9,0,False,,,Servicio de jardinería,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/jardi-art-sant-cugat/,
Dimi Reformes - Vallès Occidental,"Carrer de Bellaterra, 2, 1º4º, 08173 Sant Cugat del Vallès, Barcelona, España",+34 627 75 20 68,jardinero,Sant Cugat del Vallès,4.3,0,False,,,Jardinero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/dimi-reformes-vallès-occidental/,
tucerrajeroSantCugat,"Carrer dels Marges, 08172 Sant Cugat del Vallès, Barcelona, España",+34 694 29 40 74,cerrajero,Sant Cugat del Vallès,5,0,False,,,Servei de serralleria d’urgències,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/tucerrajerosantcugat/,
SerrallerAndreus,"Carrer del Carme, 08172 Sant Cugat del Vallès, Barcelona, España",,cerrajero,Sant Cugat del Vallès,0,0,False,,,Cerrajero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/serrallerandreus/,
Cerrajería Dámaso Álvarez,"Carrer de Joan XXIII, 20, 08173 Sant Cugat del Vallès, Barcelona, España",+34 664 38 83 22,cerrajero,Sant Cugat del Vallès,5,0,False,,,Cerrajero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/cerrajería-dámaso-álvarez/,
CAL SABATER,"Carrer dels Pous, 4, 08172 Sant Cugat del Vallès, Barcelona, España",,cerrajero,Sant Cugat del Vallès,4.4,0,False,,,Zapatero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/cal-sabater/,
